Row,Column,Error,Value
60,Phone Number,Phone number already exists,9022421741
61,Email,Email already exists,hussaynabdsamad07@gmail.com
61,Phone Number,Phone number already exists,9022421741
62,Email,Email already exists,hussaynabdsamad07@gmail.com
62,Phone Number,Phone number already exists,9022421741
63,Email,Email already exists,hussaynabdsamad07@gmail.com
63,Phone Number,Phone number already exists,9022421741
64,Email,Email already exists,hussaynabdsamad07@gmail.com
64,Phone Number,Phone number already exists,9022421741
65,Email,Email already exists,hussaynabdsamad07@gmail.com
65,Phone Number,Phone number already exists,9022421741
66,Email,Email already exists,hussaynabdsamad07@gmail.com
66,Phone Number,Phone number already exists,9022421741
67,Email,Email already exists,hussaynabdsamad07@gmail.com
67,Phone Number,Phone number already exists,9022421741
68,Email,Email already exists,hussaynabdsamad07@gmail.com
68,Phone Number,Phone number already exists,9022421741
69,Email,Email already exists,hussaynabdsamad07@gmail.com
69,Phone Number,Phone number already exists,9022421741
70,Email,Email already exists,hussaynabdsamad07@gmail.com
70,Phone Number,Phone number already exists,9022421741
71,Email,Email already exists,hussaynabdsamad07@gmail.com
71,Phone Number,Phone number already exists,9022421741
72,Email,Email already exists,hussaynabdsamad07@gmail.com
72,Phone Number,Phone number already exists,9022421741
73,Email,Email already exists,hussaynabdsamad07@gmail.com
73,Phone Number,Phone number already exists,9022421741
74,Email,Email already exists,hussaynabdsamad07@gmail.com
74,Phone Number,Phone number already exists,9022421741
75,Email,Email already exists,hussaynabdsamad07@gmail.com
75,Phone Number,Phone number already exists,9022421741
76,Email,Email already exists,hussaynabdsamad07@gmail.com
76,Phone Number,Phone number already exists,9022421741
77,Email,Email already exists,hussaynabdsamad07@gmail.com
77,Phone Number,Phone number already exists,9022421741
78,Email,Email already exists,hussaynabdsamad07@gmail.com
78,Phone Number,Phone number already exists,9022421741
79,Email,Email already exists,hussaynabdsamad07@gmail.com
79,Phone Number,Phone number already exists,9022421741
80,Email,Email already exists,hussaynabdsamad07@gmail.com
80,Phone Number,Phone number already exists,9022421741
81,Email,Email already exists,hussaynabdsamad07@gmail.com
81,Phone Number,Phone number already exists,9022421741
82,Email,Email already exists,hussaynabdsamad07@gmail.com
82,Phone Number,Phone number already exists,9022421741
83,Email,Email already exists,hussaynabdsamad07@gmail.com
83,Phone Number,Phone number already exists,9022421741
84,Email,Email already exists,hussaynabdsamad07@gmail.com
84,Phone Number,Phone number already exists,9022421741
85,Email,Email already exists,hussaynabdsamad07@gmail.com
85,Phone Number,Phone number already exists,9022421741
86,Email,Email already exists,hussaynabdsamad07@gmail.com
86,Phone Number,Phone number already exists,9022421741
87,Email,Email already exists,hussaynabdsamad07@gmail.com
87,Phone Number,Phone number already exists,9022421741
88,Email,Email already exists,hussaynabdsamad07@gmail.com
88,Phone Number,Phone number already exists,9022421741
89,Email,Email already exists,hussaynabdsamad07@gmail.com
89,Phone Number,Phone number already exists,9022421741
90,Email,Email already exists,hussaynabdsamad07@gmail.com
90,Phone Number,Phone number already exists,9022421741
91,Email,Email already exists,hussaynabdsamad07@gmail.com
91,Phone Number,Phone number already exists,9022421741
92,Email,Email already exists,hussaynabdsamad07@gmail.com
92,Phone Number,Phone number already exists,9022421741
93,Email,Email already exists,hussaynabdsamad07@gmail.com
93,Phone Number,Phone number already exists,9022421741
94,Email,Email already exists,hussaynabdsamad07@gmail.com
94,Phone Number,Phone number already exists,9022421741
95,Email,Email already exists,hussaynabdsamad07@gmail.com
95,Phone Number,Phone number already exists,9022421741
96,Email,Email already exists,hussaynabdsamad07@gmail.com
96,Phone Number,Phone number already exists,9022421741
97,Email,Email already exists,hussaynabdsamad07@gmail.com
97,Phone Number,Phone number already exists,9022421741
98,Email,Email already exists,hussaynabdsamad07@gmail.com
98,Phone Number,Phone number already exists,9022421741
99,Email,Email already exists,hussaynabdsamad07@gmail.com
99,Phone Number,Phone number already exists,9022421741
100,Email,Email already exists,hussaynabdsamad07@gmail.com
100,Phone Number,Phone number already exists,9022421741
101,Email,Email already exists,hussaynabdsamad07@gmail.com
101,Phone Number,Phone number already exists,9022421741
102,Email,Email already exists,hussaynabdsamad07@gmail.com
102,Phone Number,Phone number already exists,9022421741
103,Email,Email already exists,hussaynabdsamad07@gmail.com
103,Phone Number,Phone number already exists,9022421741
104,Email,Email already exists,hussaynabdsamad07@gmail.com
104,Phone Number,Phone number already exists,9022421741
105,Email,Email already exists,hussaynabdsamad07@gmail.com
105,Phone Number,Phone number already exists,9022421741
106,Email,Email already exists,hussaynabdsamad07@gmail.com
106,Phone Number,Phone number already exists,9022421741
107,Email,Email already exists,hussaynabdsamad07@gmail.com
107,Phone Number,Phone number already exists,9022421741
108,Email,Email already exists,hussaynabdsamad07@gmail.com
108,Phone Number,Phone number already exists,9022421741
109,Email,Email already exists,hussaynabdsamad07@gmail.com
109,Phone Number,Phone number already exists,9022421741
110,Email,Email already exists,hussaynabdsamad07@gmail.com
110,Phone Number,Phone number already exists,9022421741
111,Email,Email already exists,hussaynabdsamad07@gmail.com
111,Phone Number,Phone number already exists,9022421741
112,Email,Email already exists,hussaynabdsamad07@gmail.com
112,Phone Number,Phone number already exists,9022421741
113,Email,Email already exists,hussaynabdsamad07@gmail.com
113,Phone Number,Phone number already exists,9022421741
114,Email,Email already exists,hussaynabdsamad07@gmail.com
114,Phone Number,Phone number already exists,9022421741
115,Email,Email already exists,hussaynabdsamad07@gmail.com
115,Phone Number,Phone number already exists,9022421741
116,Email,Email already exists,hussaynabdsamad07@gmail.com
116,Phone Number,Phone number already exists,9022421741
117,Email,Email already exists,hussaynabdsamad07@gmail.com
117,Phone Number,Phone number already exists,9022421741
118,Email,Email already exists,hussaynabdsamad07@gmail.com
118,Phone Number,Phone number already exists,9022421741
119,Email,Email already exists,hussaynabdsamad07@gmail.com
119,Phone Number,Phone number already exists,9022421741
120,Email,Email already exists,hussaynabdsamad07@gmail.com
120,Phone Number,Phone number already exists,9022421741
121,Email,Email already exists,hussaynabdsamad07@gmail.com
121,Phone Number,Phone number already exists,9022421741
122,Email,Email already exists,hussaynabdsamad07@gmail.com
122,Phone Number,Phone number already exists,9022421741
123,Email,Email already exists,hussaynabdsamad07@gmail.com
123,Phone Number,Phone number already exists,9022421741
124,Email,Email already exists,hussaynabdsamad07@gmail.com
124,Phone Number,Phone number already exists,9022421741
125,Email,Email already exists,hussaynabdsamad07@gmail.com
125,Phone Number,Phone number already exists,9022421741
126,Email,Email already exists,hussaynabdsamad07@gmail.com
126,Phone Number,Phone number already exists,9022421741
127,Email,Email already exists,hussaynabdsamad07@gmail.com
127,Phone Number,Phone number already exists,9022421741
128,Email,Email already exists,hussaynabdsamad07@gmail.com
128,Phone Number,Phone number already exists,9022421741
129,Email,Email already exists,hussaynabdsamad07@gmail.com
129,Phone Number,Phone number already exists,9022421741
130,Email,Email already exists,hussaynabdsamad07@gmail.com
130,Phone Number,Phone number already exists,9022421741
131,Email,Email already exists,hussaynabdsamad07@gmail.com
131,Phone Number,Phone number already exists,9022421741
132,Email,Email already exists,hussaynabdsamad07@gmail.com
132,Phone Number,Phone number already exists,9022421741
133,Email,Email already exists,hussaynabdsamad07@gmail.com
133,Phone Number,Phone number already exists,9022421741
134,Email,Email already exists,hussaynabdsamad07@gmail.com
134,Phone Number,Phone number already exists,9022421741
135,Email,Email already exists,hussaynabdsamad07@gmail.com
135,Phone Number,Phone number already exists,9022421741
136,Email,Email already exists,hussaynabdsamad07@gmail.com
136,Phone Number,Phone number already exists,9022421741
137,Email,Email already exists,hussaynabdsamad07@gmail.com
137,Phone Number,Phone number already exists,9022421741
138,Email,Email already exists,hussaynabdsamad07@gmail.com
138,Phone Number,Phone number already exists,9022421741
139,Email,Email already exists,hussaynabdsamad07@gmail.com
139,Phone Number,Phone number already exists,9022421741
140,Email,Email already exists,hussaynabdsamad07@gmail.com
140,Phone Number,Phone number already exists,9022421741
141,Email,Email already exists,hussaynabdsamad07@gmail.com
141,Phone Number,Phone number already exists,9022421741
142,Email,Email already exists,hussaynabdsamad07@gmail.com
142,Phone Number,Phone number already exists,9022421741
143,Email,Email already exists,hussaynabdsamad07@gmail.com
143,Phone Number,Phone number already exists,9022421741
144,Email,Email already exists,hussaynabdsamad07@gmail.com
144,Phone Number,Phone number already exists,9022421741
145,Email,Email already exists,hussaynabdsamad07@gmail.com
145,Phone Number,Phone number already exists,9022421741
146,Email,Email already exists,hussaynabdsamad07@gmail.com
146,Phone Number,Phone number already exists,9022421741
147,Email,Email already exists,hussaynabdsamad07@gmail.com
147,Phone Number,Phone number already exists,9022421741
148,Email,Email already exists,hussaynabdsamad07@gmail.com
148,Phone Number,Phone number already exists,9022421741
149,Email,Email already exists,hussaynabdsamad07@gmail.com
149,Phone Number,Phone number already exists,9022421741
150,Email,Email already exists,hussaynabdsamad07@gmail.com
150,Phone Number,Phone number already exists,9022421741
151,Email,Email already exists,hussaynabdsamad07@gmail.com
151,Phone Number,Phone number already exists,9022421741
152,Email,Email already exists,hussaynabdsamad07@gmail.com
152,Phone Number,Phone number already exists,9022421741
153,Email,Email already exists,hussaynabdsamad07@gmail.com
153,Phone Number,Phone number already exists,9022421741
154,Email,Email already exists,hussaynabdsamad07@gmail.com
154,Phone Number,Phone number already exists,9022421741
155,Email,Email already exists,hussaynabdsamad07@gmail.com
155,Phone Number,Phone number already exists,9022421741
156,Email,Email already exists,hussaynabdsamad07@gmail.com
156,Phone Number,Phone number already exists,9022421741
157,Email,Email already exists,hussaynabdsamad07@gmail.com
157,Phone Number,Phone number already exists,9022421741
158,Email,Email already exists,hussaynabdsamad07@gmail.com
158,Phone Number,Phone number already exists,9022421741
159,Email,Email already exists,hussaynabdsamad07@gmail.com
159,Phone Number,Phone number already exists,9022421741
160,Email,Email already exists,hussaynabdsamad07@gmail.com
160,Phone Number,Phone number already exists,9022421741
161,Email,Email already exists,hussaynabdsamad07@gmail.com
161,Phone Number,Phone number already exists,9022421741
162,Email,Email already exists,hussaynabdsamad07@gmail.com
162,Phone Number,Phone number already exists,9022421741
163,Email,Email already exists,hussaynabdsamad07@gmail.com
163,Phone Number,Phone number already exists,9022421741
164,Email,Email already exists,hussaynabdsamad07@gmail.com
164,Phone Number,Phone number already exists,9022421741
165,Email,Email already exists,hussaynabdsamad07@gmail.com
165,Phone Number,Phone number already exists,9022421741
166,Email,Email already exists,hussaynabdsamad07@gmail.com
166,Phone Number,Phone number already exists,9022421741
167,Email,Email already exists,hussaynabdsamad07@gmail.com
167,Phone Number,Phone number already exists,9022421741
168,Email,Email already exists,hussaynabdsamad07@gmail.com
168,Phone Number,Phone number already exists,9022421741
169,Email,Email already exists,hussaynabdsamad07@gmail.com
169,Phone Number,Phone number already exists,9022421741
170,Email,Email already exists,hussaynabdsamad07@gmail.com
170,Phone Number,Phone number already exists,9022421741
171,Email,Email is not valid,
171,First Name,First name must not be empty,
171,Last Name,Last name must not be empty,
171,Last Name,Middle name must not be empty,
171,Phone Number,Phone number is not valid,
171,Matric Number,Matric number must not be empty,
171,Department Code,Department code does not exist,
172,Email,Email already exists,hussaynabdsamad07@gmail.com
172,Phone Number,Phone number already exists,9022421741
173,Email,Email already exists,hussaynabdsamad07@gmail.com
173,Phone Number,Phone number already exists,9022421741
174,Email,Email already exists,hussaynabdsamad07@gmail.com
174,Phone Number,Phone number already exists,9022421741
175,Email,Email already exists,hussaynabdsamad07@gmail.com
175,Phone Number,Phone number already exists,9022421741
176,Email,Email already exists,hussaynabdsamad07@gmail.com
176,Phone Number,Phone number already exists,9022421741
177,Email,Email already exists,hussaynabdsamad07@gmail.com
177,Phone Number,Phone number already exists,9022421741
178,Email,Email already exists,hussaynabdsamad07@gmail.com
178,Phone Number,Phone number already exists,9022421741
179,Email,Email already exists,hussaynabdsamad07@gmail.com
179,Phone Number,Phone number already exists,9022421741
180,Email,Email already exists,hussaynabdsamad07@gmail.com
180,Phone Number,Phone number already exists,9022421741
181,Email,Email already exists,hussaynabdsamad07@gmail.com
181,Phone Number,Phone number already exists,9022421741
182,Email,Email already exists,hussaynabdsamad07@gmail.com
182,Phone Number,Phone number already exists,9022421741
183,Email,Email already exists,hussaynabdsamad07@gmail.com
183,Phone Number,Phone number already exists,9022421741
184,Email,Email already exists,hussaynabdsamad07@gmail.com
184,Phone Number,Phone number already exists,9022421741
185,Email,Email already exists,hussaynabdsamad07@gmail.com
185,Phone Number,Phone number already exists,9022421741
186,Email,Email already exists,hussaynabdsamad07@gmail.com
186,Phone Number,Phone number already exists,9022421741
187,Email,Email already exists,hussaynabdsamad07@gmail.com
187,Phone Number,Phone number already exists,9022421741
188,Email,Email already exists,hussaynabdsamad07@gmail.com
188,Phone Number,Phone number already exists,9022421741
189,Email,Email already exists,hussaynabdsamad07@gmail.com
189,Phone Number,Phone number already exists,9022421741
190,Email,Email already exists,hussaynabdsamad07@gmail.com
190,Phone Number,Phone number already exists,9022421741
191,Email,Email already exists,hussaynabdsamad07@gmail.com
191,Phone Number,Phone number already exists,9022421741
192,Email,Email already exists,hussaynabdsamad07@gmail.com
192,Phone Number,Phone number already exists,9022421741
193,Email,Email already exists,hussaynabdsamad07@gmail.com
193,Phone Number,Phone number already exists,9022421741
194,Email,Email already exists,hussaynabdsamad07@gmail.com
194,Phone Number,Phone number already exists,9022421741
195,Email,Email already exists,hussaynabdsamad07@gmail.com
195,Phone Number,Phone number already exists,9022421741
196,Email,Email already exists,hussaynabdsamad07@gmail.com
196,Phone Number,Phone number already exists,9022421741
197,Email,Email already exists,hussaynabdsamad07@gmail.com
197,Phone Number,Phone number already exists,9022421741
198,Email,Email already exists,hussaynabdsamad07@gmail.com
198,Phone Number,Phone number already exists,9022421741
199,Email,Email already exists,hussaynabdsamad07@gmail.com
199,Phone Number,Phone number already exists,9022421741
200,Email,Email already exists,hussaynabdsamad07@gmail.com
200,Phone Number,Phone number already exists,9022421741
201,Email,Email already exists,hussaynabdsamad07@gmail.com
201,Phone Number,Phone number already exists,9022421741
202,Email,Email already exists,hussaynabdsamad07@gmail.com
202,Phone Number,Phone number already exists,9022421741
203,Email,Email already exists,hussaynabdsamad07@gmail.com
203,Phone Number,Phone number already exists,9022421741
204,Email,Email already exists,hussaynabdsamad07@gmail.com
204,Phone Number,Phone number already exists,9022421741
205,Email,Email already exists,hussaynabdsamad07@gmail.com
205,Phone Number,Phone number already exists,9022421741
206,Email,Email already exists,hussaynabdsamad07@gmail.com
206,Phone Number,Phone number already exists,9022421741
207,Email,Email already exists,hussaynabdsamad07@gmail.com
207,Phone Number,Phone number already exists,9022421741
208,Email,Email already exists,hussaynabdsamad07@gmail.com
208,Phone Number,Phone number already exists,9022421741
209,Email,Email already exists,hussaynabdsamad07@gmail.com
209,Phone Number,Phone number already exists,9022421741
210,Email,Email already exists,hussaynabdsamad07@gmail.com
210,Phone Number,Phone number already exists,9022421741
211,Email,Email already exists,hussaynabdsamad07@gmail.com
211,Phone Number,Phone number already exists,9022421741
212,Email,Email already exists,hussaynabdsamad07@gmail.com
212,Phone Number,Phone number already exists,9022421741
213,Email,Email already exists,hussaynabdsamad07@gmail.com
213,Phone Number,Phone number already exists,9022421741
214,Email,Email already exists,hussaynabdsamad07@gmail.com
214,Phone Number,Phone number already exists,9022421741
215,Email,Email already exists,hussaynabdsamad07@gmail.com
215,Phone Number,Phone number already exists,9022421741
